objectid,filename,title,date,season,description,creator,location,latitude,longitude,video_links,subject,source,type,format,language
coll001,ang-nawawalang-kapatid.jpg,Ang Nawalang Kapatid,2014,Season 39,"Ang Nawalang Kapatid, adapted from The Mahabharata by acclaimed playwright Floy Quintos, with original score by Ceejay Javier, directed and choreographed by Dexter M. Santos, is a re-telling of the epic battle between the  Kaurava and Pandava families. The story focuses on the anti-hero Karna, a brave young man who must choose between loyalty to his family or to the state which made him a prince.","Floy Quintos, Dexter Santos","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,https://www.youtube.com/watch?v=vISTL9hHTcc&t=225s,adaptation; theatre; dup; season39,DUP's FB page,Image,image,Filipino
coll002,bilanggo-ng-pagibig.jpg,Bilanggo ng Pag-ibig,2015,Season 39,"Bilanggo ng Pag-ibig is an adaptation of Genet’s masterpiece Un Captif Amoureux (Prisoner of Love). Genet’s final opus is a lyrical and philosophical voyage to the bloody intersection of oppression, terror, and desire at the heart of the contemporary world. The play, then, seeks to understand and portray Genet’s imagination as well as his controversial insights on revolution, betrayal and deceit, homosexuality, violence, and love. Bilanggo ng Pag-ibig, therefore, is a response to Genet's daring claim and provocation: ""The end pursued by revolution is the discovery of beauty."" ","Rody Vera, Jose Estrella","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,theatre; dup; season39,DUP's FB page,Image,image,Filipino
coll003,measure-for-measure.jpg,William Shakespeare's Measure for Measure/Hakbang sa Hakbang,2014,Season 39,"One of William Shakespeare’s best-known plays, Measure for Measure, opens Dulaang UP’s 39th season and celebrates Shakespeare’s 450th birth anniversary. In Measure for Measure, one is invited to examine these themes against a backdrop of a city that is in a steady moral decline--a most fitting juxtaposition with our country’s current socio-political milieu.","Ron Capinding, Alexander Cortez","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,shakespeare; theatre; dup; season39,DUP's FB page,Image,image,Filipino; English
coll004,ang-huling-lagda.jpg,Ang Huling Lagda ni Apolinario Mabini,2014,Season 39,"Ang Huling Lagda ni Apolinario Mabini re-imagines the hero’s exile in Guam and the painful conditions that allowed for his return to the Philippines. The new musical, with book and libretto by Floy Quintos, original music by Krina Cayabyab, and direction and choreography by Dexter M. Santos, hopes to explore the private pain of this great thinker in the face of betrayal and the failure of the Revolution he had dedicated his life to. ","Floy Quintos, Dexter Santos","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,https://www.youtube.com/watch?v=x20cb4XwmJk&t=852s,musical; theatre; dup; season 39,DUP's FB page,Image,image,Filipino
coll005,the-country-wife.jpg,The Country Wife/Ang Misis kong Promdi,2014,Season 39,"The Country Wife/ Ang Misis kong Promdi’s plot revolves around the lives of men and women belonging to high society; lives that are entangled in the paradox of love, marriage, reputation, mores, sexual conduct, and politics. A notorious philanderer’s homecoming ignites a series of infidelities and indiscretions. An innocent young woman from the countryside speaks honestly of her thoughts and desires posing a challenge to the gendered norms and moral codes of 16th and 17th century London. ","Nicolas Pichay, Tony Mabesa","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,adaptation; theatre; dup; season39,DUP's FB page,Image,image,Filipino; English
coll006,r-heart-j.jpg,#R(Heart)J,2015,Season 40,"#R(Heart)J retells the story of the star-crossed lovers transforming Verona into a concrete jungle at the heart of Metro Manila – teeming with corruption, revolt, advertisements, sex, social media and condominium units. This theatrical project seeks to dramatize, through a pastiche of movement, music, intertext, video and design, the postmodern tragedy of our generation.","Guelan Varela-Luarca, Dexter Santos","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,shakespeare; theatre; dup; season40,DUP's FB page,Image,image,Filipino; English
coll007,king-lear.jpg,King Lear/Haring Lear,2015,Season 40,"The play is set in the waning years of a Southeast Asian kingdom replete with appropriate music, movement, costumes, and properties of the region without losing the themes, images, and poetry of the playwright’s supreme achievement. King Lear | Haring Lear is the epitome of how deceit and the love for the superficial can tragically bring families to ruin and great kingdoms to ashes.","Nicolas Pichay, Tony Mabesa","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,adaptation; theatre; dup; season40,DUP's FB page,Image,image,Filipino; English
coll008,hari-ng-wala.jpg,"Tisoy Brown: Hari ng Wala, based on Henrik Ibsen's Peer Gynt",2016,Season 40,"Kawangis ng pakikipagsapalaran ni Peer Gynt sa mahiwagang mundo ng Noruega, tunghayan si Tisoy Brown sa kanyang paglalayag sa laot ng dagat, pagbagtas sa kasukalan ng gubat, paglipad sa himpapawid, at pakikipagdaupang-palad sa mga nilalang na pawang tauhan ng mga bantog na kwentong-bayan ng ating mayamang kulturang Pilipino.","Rody Vera, Jose Estrella","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,theatre; dup; season40,DUP's FB page,Image,image,Filipino
coll009,the-dressing-room-2.webp,The Dressing Room: That Which Flows Away Ultimately Becomes Nostalgia,2016,Season 40,"A story of actors preparing for their performance of Anton Chekhov’s The Seagull, The Dressing Room | Ang Dressing Room features seasoned theatre, film, and television actors, Frances Makil-Ignacio, Ces Quesada, Missy Maramara, Maxine Ignacio, Roeder Camañag, Bobby Martino, and Mitoy Sta. Ana, along with theatre students Hariette Damole, Jude Servilla, and the DUP ensemble.",Alexander Cortez,"Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,theatre; dup; season40,DUP's FB page,Image,image,Filipino; English
coll010,comedy-of-errors.jpg,William Shakespeare's Comedy of Errors/Ang Katatawanan ng Kalituhan,2016,Season 41,"A cleverly crafted tale of mistaken identities, loves lost and found, families gone astray and made whole again.","Guelan Varela-Luarca, Alexander Cortez","Wilfrido Ma. Guerrero Theater, 2nd floor Palma Hall, University of the Philippines Diliman",14.65360421,121.0702721,,shakespeare; theatre; dup; season41,DUP's FB page,Image,image,Filipino; English
